Title,Year,Age,IMDb,Rotten Tomatoes
breaking bad,2008,18,94.0,100
stranger things,2016,16,87.0,96
attack on titan,2013,18,90.0,95
better call saul,2015,18,88.0,94
dark,2017,16,88.0,93
avatar: the last airbender,2005,7,93.0,93
peaky blinders,2013,18,88.0,93
the walking dead,2010,18,82.0,93
black mirror,2011,18,88.0,92
the queen's gambit,2020,18,86.0,92
mindhunter,2017,18,86.0,90
community,2009,7,85.0,90
narcos,2015,18,88.0,90
shameless,2011,18,85.0,90
money heist,2017,18,83.0,90
marvel's daredevil,2015,18,86.0,90
lucifer,2016,16,81.0,90
supernatural,2005,16,84.0,89
the witcher,2019,18,82.0,89
ozark,2017,18,84.0,89
the crown,2016,18,86.0,89
cobra kai,2018,16,86.0,89
the blacklist,2013,16,80.0,88
the flash,2014,16,76.0,88
outlander,2014,18,84.0,88
fullmetal alchemist: brotherhood,2009,16,91.0,88
the good place,2016,16,82.0,88
house of cards,2013,18,87.0,88
atypical,2017,16,83.0,88
grey's anatomy,2005,16,75.0,87
arrested development,2003,16,87.0,87
lupin,2021,18,75.0,87
the umbrella academy,2019,16,80.0,87
orange is the new black,2013,18,80.0,87
the vampire diaries,2009,16,77.0,86
demon slayer: kimetsu no yaiba,2019,18,87.0,86
the last dance,2020,16,91.0,86
american horror story,2011,18,80.0,86
elite,2018,18,75.0,86
bojack horseman,2014,18,87.0,86
star trek: the next generation,1987,7,86.0,86
broadchurch,2013,18,84.0,86
the it crowd,2006,16,85.0,86
when they see us,2019,18,89.0,86
"love, death & robots",2019,18,85.0,86
schitt's creek,2015,16,85.0,86
marvel's agents of s.h.i.e.l.d.,2013,16,75.0,86
never have i ever,2020,16,79.0,86
the 100,2014,16,76.0,86
american crime story,2016,18,84.0,85
the last kingdom,2015,18,84.0,85
the end of the f***ing world,2017,18,81.0,85
new girl,2011,16,77.0,85
penny dreadful,2014,18,82.0,85
one piece,1999,7,88.0,85
marvel's the punisher,2017,18,85.0,85
evil,2019,18,77.0,85
you,2018,18,77.0,85
sense8,2015,18,83.0,84
making a murderer,2015,16,86.0,84
unbelievable,2019,18,84.0,84
arrow,2012,16,75.0,84
sex education,2019,18,83.0,84
marvel's jessica jones,2015,18,79.0,84
sweet tooth,2021,16,79.0,84
good girls,2018,16,78.0,84
death note,2006,16,90.0,84
gilmore girls,2000,16,81.0,84
the legend of korra,2012,7,84.0,83
how to get away with murder,2014,16,81.0,83
master of none,2015,18,83.0,83
chappelle's show,2003,18,87.0,83
one-punch man,2015,7,88.0,83
downton abbey,2010,16,87.0,83
gotham,2014,16,78.0,83
pose,2018,18,86.0,83
bodyguard,2018,18,81.0,83
altered carbon,2018,18,80.0,83
ash vs evil dead,2015,18,84.0,83
the sinner,2017,16,79.0,83
our planet,2019,0,93.0,82
narcos: mexico,2018,18,84.0,82
shadow and bone,2021,16,77.0,82
castlevania,2017,18,83.0,82
star trek,1966,7,83.0,82
the kominsky method,2018,18,82.0,82
hunter x hunter,2011,16,90.0,82
dead to me,2019,18,80.0,82
the haunting of hill house,2018,18,86.0,82
russian doll,2019,18,79.0,82
kingdom,2019,18,84.0,82
neon genesis evangelion,1995,16,85.0,82
naruto,2002,7,83.0,81
ncis,2003,16,77.0,81
manifest,2018,16,72.0,81
halt and catch fire,2014,16,84.0,81
monty python's flying circus,1969,16,88.0,81
after life,2019,18,84.0,81
riverdale,2017,16,68.0,81
big mouth,2017,18,79.0,81
i think you should leave with tim robinson,2019,18,78.0,81
derry girls,2018,16,84.0,81
the promised neverland,2019,18,85.0,81
lost in space,2018,7,73.0,80
star trek: deep space nine,1993,7,80.0,80
jane the virgin,2014,16,78.0,80
godless,2017,18,83.0,80
the oa,2016,18,78.0,80
dc's legends of tomorrow,2016,16,68.0,80
sacred games,2018,18,86.0,80
izombie,2015,16,78.0,80
longmire,2012,16,83.0,80
happy endings,2011,16,77.0,80
into the badlands,2015,16,80.0,80
the originals,2013,16,82.0,80
anne with an e,2017,0,87.0,80
grace and frankie,2015,18,83.0,80
chilling adventures of sabrina,2018,16,75.0,80
queen of the south,2016,16,80.0,79
a series of unfortunate events,2017,7,78.0,79
unorthodox,2020,18,80.0,79
stargate sg-1,1997,13,84.0,79
outer banks,2020,18,76.0,79
13 reasons why,2017,18,76.0,79
unbreakable kimmy schmidt,2015,16,76.0,79
marvel's luke cage,2016,18,73.0,79
glow,2017,18,80.0,79
borgen,2010,18,85.0,79
the 4400,2004,7,73.0,79
alias grace,2017,18,77.0,79
all american,2018,16,77.0,79
santa clarita diet,2017,18,78.0,79
reign,2013,16,75.0,78
maniac,2018,18,78.0,78
dark matter,2015,18,75.0,78
star trek: voyager,1995,7,78.0,78
"tiger king: murder, mayhem and madness",2020,18,76.0,78
call the midwife,2012,16,84.0,78
queer eye,2018,16,85.0,78
american vandal,2017,16,82.0,78
wynonna earp,2016,16,75.0,78
marvel's the defenders,2017,18,73.0,78
happy!,2017,18,82.0,77
haikyu!!,2014,16,87.0,77
colony,2016,16,74.0,77
heartland,2007,7,84.0,77
alone,2015,16,84.0,77
marco polo,2014,18,80.0,77
wild wild country,2018,16,81.0,77
the dragon prince,2018,7,84.0,77
locke & key,2020,16,74.0,77
love,2016,18,77.0,77
one day at a time,2017,7,82.0,77
feel good,2020,18,75.0,77
fauda,2015,16,82.0,77
the dark crystal: age of resistance,2019,7,84.0,77
top boy,2011,18,84.0,77
i am not okay with this,2020,18,75.0,77
supergirl,2015,16,62.0,77
the shannara chronicles,2016,16,72.0,77
designated survivor,2016,7,75.0,77
travelers,2016,16,81.0,77
startup,2016,18,79.0,77
ripper street,2012,18,81.0,77
episodes,2011,18,78.0,77
crazy ex-girlfriend,2015,16,78.0,76
bloodline,2015,18,79.0,76
black summer,2019,18,65.0,76
the borgias,2011,18,79.0,76
glee,2009,16,67.0,76
the stranger,2020,18,73.0,76
virgin river,2019,16,74.0,76
lilyhammer,2012,18,80.0,76
dirty john,2018,18,72.0,76
turn: washington's spies,2014,16,81.0,76
star trek: enterprise,2001,7,75.0,76
she-ra and the princesses of power,2018,0,79.0,75
merlin,2008,7,79.0,75
the magicians,2015,16,76.0,75
ginny & georgia,2021,16,75.0,75
the spy,2019,18,79.0,75
on my block,2018,16,80.0,75
the movies that made us,2019,18,78.0,75
chef's table,2015,0,85.0,75
biohackers,2020,18,68.0,75
the seven deadly sins,2014,16,80.0,75
the keepers,2017,16,81.0,75
f is for family,2015,18,80.0,74
the midnight gospel,2020,18,82.0,74
ragnarok,2020,18,75.0,74
legacies,2018,16,74.0,74
the order,2019,18,68.0,74
disenchantment,2018,16,72.0,74
dead set,2008,18,76.0,74
dirty money,2018,16,81.0,74
the staircase,2005,16,79.0,74
soul eater,2008,16,78.0,74
into the night,2020,18,71.0,74
julie and the phantoms,2020,7,85.0,74
leyla ile mecnun,2011,7,91.0,74
living with yourself,2019,18,72.0,74
hilda,2018,7,86.0,74
the mechanism,2018,18,84.0,74
erased,2016,16,85.0,74
formula 1: drive to survive,2019,16,86.0,74
don't f**k with cats: hunting an internet killer,2019,18,80.0,74
kim's convenience,2016,16,82.0,73
