Title,Year,Age,IMDb,Rotten Tomatoes
Breaking Bad,2008,18,94.0,100
Stranger Things,2016,16,87.0,96
Attack on Titan,2013,18,90.0,95
Better Call Saul,2015,18,88.0,94
Dark,2017,16,88.0,93
Avatar: The Last Airbender,2005,7,93.0,93
Peaky Blinders,2013,18,88.0,93
The Walking Dead,2010,18,82.0,93
Black Mirror,2011,18,88.0,92
The Queen's Gambit,2020,18,86.0,92
Mindhunter,2017,18,86.0,90
Community,2009,7,85.0,90
Narcos,2015,18,88.0,90
Shameless,2011,18,85.0,90
Money Heist,2017,18,83.0,90
Marvel's Daredevil,2015,18,86.0,90
Lucifer,2016,16,81.0,90
Supernatural,2005,16,84.0,89
The Witcher,2019,18,82.0,89
Ozark,2017,18,84.0,89
The Crown,2016,18,86.0,89
Cobra Kai,2018,16,86.0,89
The Blacklist,2013,16,80.0,88
The Flash,2014,16,76.0,88
Outlander,2014,18,84.0,88
Fullmetal Alchemist: Brotherhood,2009,16,91.0,88
The Good Place,2016,16,82.0,88
House of Cards,2013,18,87.0,88
Atypical,2017,16,83.0,88
Grey's Anatomy,2005,16,75.0,87
Arrested Development,2003,16,87.0,87
Lupin,2021,18,75.0,87
The Umbrella Academy,2019,16,80.0,87
Orange Is the New Black,2013,18,80.0,87
The Vampire Diaries,2009,16,77.0,86
Demon Slayer: Kimetsu no Yaiba,2019,18,87.0,86
The Last Dance,2020,16,91.0,86
American Horror Story,2011,18,80.0,86
Elite,2018,18,75.0,86
BoJack Horseman,2014,18,87.0,86
Star Trek: The Next Generation,1987,7,86.0,86
Broadchurch,2013,18,84.0,86
The IT Crowd,2006,16,85.0,86
When They See Us,2019,18,89.0,86
"Love, Death & Robots",2019,18,85.0,86
Schitt's Creek,2015,16,85.0,86
Marvel's Agents of S.H.I.E.L.D.,2013,16,75.0,86
Never Have I Ever,2020,16,79.0,86
The 100,2014,16,76.0,86
American Crime Story,2016,18,84.0,85
The Last Kingdom,2015,18,84.0,85
The End of the F***ing World,2017,18,81.0,85
New Girl,2011,16,77.0,85
Penny Dreadful,2014,18,82.0,85
One Piece,1999,7,88.0,85
Marvel's The Punisher,2017,18,85.0,85
Evil,2019,18,77.0,85
YOU,2018,18,77.0,85
Sense8,2015,18,83.0,84
Making a Murderer,2015,16,86.0,84
Unbelievable,2019,18,84.0,84
Arrow,2012,16,75.0,84
Sex Education,2019,18,83.0,84
Marvel's Jessica Jones,2015,18,79.0,84
Sweet Tooth,2021,16,79.0,84
Good Girls,2018,16,78.0,84
Death Note,2006,16,90.0,84
Gilmore Girls,2000,16,81.0,84
The Legend of Korra,2012,7,84.0,83
How to Get Away with Murder,2014,16,81.0,83
Master of None,2015,18,83.0,83
Chappelle's Show,2003,18,87.0,83
One-Punch Man,2015,7,88.0,83
Downton Abbey,2010,16,87.0,83
Gotham,2014,16,78.0,83
Pose,2018,18,86.0,83
Bodyguard,2018,18,81.0,83
Altered Carbon,2018,18,80.0,83
Ash vs Evil Dead,2015,18,84.0,83
The Sinner,2017,16,79.0,83
Our Planet,2019,0,93.0,82
Narcos: Mexico,2018,18,84.0,82
Shadow and Bone,2021,16,77.0,82
Castlevania,2017,18,83.0,82
Star Trek,1966,7,83.0,82
The Kominsky Method,2018,18,82.0,82
Hunter x Hunter,2011,16,90.0,82
Dead to Me,2019,18,80.0,82
The Haunting of Hill House,2018,18,86.0,82
Russian Doll,2019,18,79.0,82
Kingdom,2019,18,84.0,82
Neon Genesis Evangelion,1995,16,85.0,82
Naruto,2002,7,83.0,81
NCIS,2003,16,77.0,81
Manifest,2018,16,72.0,81
Halt and Catch Fire,2014,16,84.0,81
Monty Python's Flying Circus,1969,16,88.0,81
After Life,2019,18,84.0,81
Riverdale,2017,16,68.0,81
Big Mouth,2017,18,79.0,81
I Think You Should Leave with Tim Robinson,2019,18,78.0,81
Derry Girls,2018,16,84.0,81
The Promised Neverland,2019,18,85.0,81
Lost in Space,2018,7,73.0,80
Star Trek: Deep Space Nine,1993,7,80.0,80
Jane the Virgin,2014,16,78.0,80
Godless,2017,18,83.0,80
The OA,2016,18,78.0,80
DC's Legends of Tomorrow,2016,16,68.0,80
Sacred Games,2018,18,86.0,80
iZombie,2015,16,78.0,80
Longmire,2012,16,83.0,80
Happy Endings,2011,16,77.0,80
Into the Badlands,2015,16,80.0,80
The Originals,2013,16,82.0,80
Anne with an E,2017,0,87.0,80
Grace and Frankie,2015,18,83.0,80
Chilling Adventures of Sabrina,2018,16,75.0,80
Queen of the South,2016,16,80.0,79
A Series of Unfortunate Events,2017,7,78.0,79
Unorthodox,2020,18,80.0,79
Stargate SG-1,1997,13,84.0,79
Outer Banks,2020,18,76.0,79
13 Reasons Why,2017,18,76.0,79
Unbreakable Kimmy Schmidt,2015,16,76.0,79
Marvel's Luke Cage,2016,18,73.0,79
GLOW,2017,18,80.0,79
Borgen,2010,18,85.0,79
The 4400,2004,7,73.0,79
Alias Grace,2017,18,77.0,79
All American,2018,16,77.0,79
Santa Clarita Diet,2017,18,78.0,79
Reign,2013,16,75.0,78
Maniac,2018,18,78.0,78
Dark Matter,2015,18,75.0,78
Star Trek: Voyager,1995,7,78.0,78
"Tiger King: Murder, Mayhem and Madness",2020,18,76.0,78
Call the Midwife,2012,16,84.0,78
Queer Eye,2018,16,85.0,78
American Vandal,2017,16,82.0,78
Wynonna Earp,2016,16,75.0,78
Marvel's The Defenders,2017,18,73.0,78
HAPPY!,2017,18,82.0,77
Haikyu!!,2014,16,87.0,77
Colony,2016,16,74.0,77
Heartland,2007,7,84.0,77
Alone,2015,16,84.0,77
Marco Polo,2014,18,80.0,77
Wild Wild Country,2018,16,81.0,77
The Dragon Prince,2018,7,84.0,77
Locke & Key,2020,16,74.0,77
Love,2016,18,77.0,77
One Day at a Time,2017,7,82.0,77
Feel Good,2020,18,75.0,77
Fauda,2015,16,82.0,77
The Dark Crystal: Age of Resistance,2019,7,84.0,77
Top Boy,2011,18,84.0,77
I Am Not Okay with This,2020,18,75.0,77
Supergirl,2015,16,62.0,77
The Shannara Chronicles,2016,16,72.0,77
Designated Survivor,2016,7,75.0,77
Travelers,2016,16,81.0,77
StartUp,2016,18,79.0,77
Ripper Street,2012,18,81.0,77
Episodes,2011,18,78.0,77
Crazy Ex-Girlfriend,2015,16,78.0,76
Bloodline,2015,18,79.0,76
Black Summer,2019,18,65.0,76
The Borgias,2011,18,79.0,76
Glee,2009,16,67.0,76
The Stranger,2020,18,73.0,76
Virgin River,2019,16,74.0,76
Lilyhammer,2012,18,80.0,76
Dirty John,2018,18,72.0,76
TURN: Washington's Spies,2014,16,81.0,76
Star Trek: Enterprise,2001,7,75.0,76
She-Ra and the Princesses of Power,2018,0,79.0,75
Merlin,2008,7,79.0,75
The Magicians,2015,16,76.0,75
Ginny & Georgia,2021,16,75.0,75
The Spy,2019,18,79.0,75
On My Block,2018,16,80.0,75
The Movies That Made Us,2019,18,78.0,75
Chef's Table,2015,0,85.0,75
Biohackers,2020,18,68.0,75
The Seven Deadly Sins,2014,16,80.0,75
The Keepers,2017,16,81.0,75
F is for Family,2015,18,80.0,74
